"Desc","Name","Price"
"Mixed vegetables spiced in a tangy sharp homemade Indian pickles","Cucumber raita","2.5"
"Mixed vegetables spiced in a tangy sharp homemade Indian pickles","Mango chutney","3.5"
"Mixed vegetables spiced in a tangy sharp homemade Indian pickles","Lime pickle","11.5"
"Spring onions fritters, served with chutney","Onion bhaji","4.75"
"Crispy fried turnover deliciously filled with mildly spices potatoes and Indian herbs","Vegetable samosa","4.5"
"Chicken leg quarters cooked in tandoor and served with grilled onions, bell peppers, lemon and our special tikka","Tandoori chicken","12.95"
"Fresh cauliflower and potatoes cooked with onions and tomatoes in Kanishka's seasonings","Aloo gobi","11.5"
"Potatoes or paneer cooked with garden fresh spinach, coriander, onions, ginger, tomatoes and mild spices","Aloo saag","11.5"
"Garden fresh vegetables cooked with basmati rice and special herbs.","Vegetable briyani","11.95"
"Boneless cubes cooked with onions, tomatoes, bell peppers and fresh garlic-ginger sauce","Lamb bhuna","13.95"
"Chicken breast baked in tandoor then sauteed in pan with bell peppers, onions, chili sauce and herbs. Served with onions, peppers, lemon and our special tikka sauce","Chicken tikka masala","13.95"
"Cooked in yogurt with tomatoes and onion gravy based Indian spices and herbs.","Rogan josh","11.95"
"A royal entree gently simmered with our special korma sauce and sprinkled with nuts.","Chicken korma","11.95"
